,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,53.67,40,84,6.85,broken clouds
1,Hay River,CA,60.8156,-115.7999,39.7,68,99,10.33,overcast clouds
2,Salekhard,RU,66.53,66.6019,31.21,94,100,7.61,overcast clouds
3,Saint George,US,37.1041,-113.5841,70.25,26,0,4.61,clear sky
4,Rikitea,PF,-23.1203,-134.9692,71.1,70,99,19.44,overcast clouds
5,Katsuura,JP,35.1333,140.3,69.51,56,2,12.26,clear sky
6,New Norfolk,AU,-42.7826,147.0587,76.91,53,100,10.47,overcast clouds
7,Bonthe,SL,7.5264,-12.505,76.35,87,61,3.13,broken clouds
8,Atuona,PF,-9.8,-139.0333,77.14,68,4,16.73,clear sky
9,Dikson,RU,73.5069,80.5464,32.07,94,100,12.24,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,52.81,87,26,7.31,scattered clouds
11,Busselton,AU,-33.65,115.3333,63.3,60,98,10.78,light rain
12,Ribeira Grande,PT,38.5167,-28.7,65.77,63,23,13.67,few clouds
13,Liezen,AT,47.5667,14.2333,49.89,87,100,4.18,overcast clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,59.02,93,40,7.0,scattered clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,72.64,87,4,30.29,clear sky
16,Castro,BR,-24.7911,-50.0119,61.05,93,100,12.24,light rain
17,Talnakh,RU,69.4865,88.3972,34.21,98,100,15.95,light snow
18,Okha,RU,53.5739,142.9478,37.54,59,90,17.67,light rain
19,Zhangye,CN,38.9342,100.4517,52.99,32,44,1.97,scattered clouds
20,Buenos Aires,AR,-34.6132,-58.3772,65.98,95,100,0.0,fog
21,Grindavik,IS,63.8424,-22.4338,39.67,75,0,10.36,clear sky
22,Port Alfred,ZA,-33.5906,26.891,61.18,97,60,3.38,broken clouds
23,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,85,83,14.36,broken clouds
24,Timra,SE,62.487,17.3257,36.68,100,31,3.44,fog
25,Maarianhamina,AX,60.0973,19.9348,42.66,87,100,1.14,overcast clouds
26,Hobart,AU,-42.8794,147.3294,77.25,59,75,14.97,broken clouds
27,Yuli,NG,9.6989,10.2744,73.42,48,95,1.7,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,42.46,45,0,2.3,clear sky
29,Severo-Kurilsk,RU,50.6789,156.125,42.91,78,99,10.89,light rain
30,Tiksi,RU,71.6872,128.8694,3.96,92,9,9.28,clear sky
31,Aquiraz,BR,-3.9014,-38.3911,79.18,80,83,16.13,broken clouds
32,Kahului,US,20.8947,-156.47,82.42,73,40,5.75,scattered clouds
33,Poum,NC,-20.2333,164.0167,77.02,68,93,19.6,overcast clouds
34,Mayo,US,38.8876,-76.5119,52.12,77,0,3.0,clear sky
