City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fenoarivo,MG,2022-10-21 00:06:21,-18.933,47.4354,59.07,82,75,10.36
1,Barrow,US,2022-10-21 00:06:21,71.2906,-156.7887,28.42,86,100,24.16
2,Hilo,US,2022-10-21 00:06:22,19.7297,-155.09,88.29,73,20,17.27
3,Severobaykalsk,RU,2022-10-21 00:06:22,55.65,109.3167,29.86,72,56,3.04
4,Bambous Virieux,MU,2022-10-21 00:06:22,-20.3428,57.7575,71.22,80,16,9.78
5,Ushuaia,AR,2022-10-21 00:06:23,-54.8,-68.3,44.22,56,20,24.16
6,Mar Del Plata,AR,2022-10-21 00:06:00,-38.0023,-57.5575,60.94,92,100,5.99
7,Washougal,US,2022-10-21 00:06:06,45.5826,-122.3534,71.4,70,20,1.01
8,Haines Junction,CA,2022-10-21 00:06:24,60.7522,-137.5108,38.41,86,100,3.56
9,Qaanaaq,GL,2022-10-21 00:06:24,77.484,-69.3632,0.63,67,20,11.81
10,Port Macquarie,AU,2022-10-21 00:04:06,-31.4333,152.9167,72.03,73,99,14.47
11,Marzuq,YE,2022-10-21 00:06:24,14.4,46.4667,65.86,41,0,0.63
12,Bluff,NZ,2022-10-21 00:06:25,-46.6,168.3333,48.87,50,63,11.18
13,Longyearbyen,SJ,2022-10-21 00:06:25,78.2186,15.6401,17.44,73,0,9.22
14,Puerto Leguizamo,CO,2022-10-21 00:06:25,-0.1934,-74.7819,74.41,88,65,2.08
15,Airai,TL,2022-10-21 00:06:26,-8.9266,125.4092,70.48,67,75,1.43
16,Albany,US,2022-10-21 00:03:12,42.6001,-73.9662,47.62,61,33,4.47
17,Fairbanks,US,2022-10-21 00:06:27,64.8378,-147.7164,39.81,89,100,5.75
18,Avarua,CK,2022-10-21 00:06:27,-21.2078,-159.775,80.65,69,75,10.36
19,Jamestown,US,2022-10-21 00:06:27,42.097,-79.2353,40.59,71,100,6.91
20,Ornskoldsvik,SE,2022-10-21 00:02:01,63.2909,18.7153,38.35,93,75,3.44
21,Puerto Ayora,EC,2022-10-21 00:06:28,-0.7393,-90.3518,68.56,88,74,4.0
22,Lander,US,2022-10-21 00:03:39,42.833,-108.7307,70.61,11,0,9.22
23,Salalah,OM,2022-10-21 00:06:28,17.0151,54.0924,75.29,78,0,3.44
24,Lubumbashi,CD,2022-10-21 00:06:29,-11.6609,27.4794,66.81,46,91,4.56
25,Mitsamiouli,KM,2022-10-21 00:06:29,-11.3847,43.2844,75.51,76,80,12.3
26,Ixtapa,MX,2022-10-21 00:06:29,20.7,-105.2,85.23,79,75,8.05
27,Atuona,PF,2022-10-21 00:06:30,-9.8,-139.0333,77.04,68,23,15.93
28,Fortuna,US,2022-10-21 00:06:30,40.5982,-124.1573,54.99,87,100,4.61
29,Dikson,RU,2022-10-21 00:06:31,73.5069,80.5464,32.16,98,100,17.76
30,Rikitea,PF,2022-10-21 00:04:59,-23.1203,-134.9692,70.63,72,84,22.12
31,Bohuslav,UA,2022-10-21 00:06:31,49.5494,30.8744,39.56,86,99,9.33
32,Padang,ID,2022-10-21 00:06:31,-0.9492,100.3543,71.65,81,100,1.43
33,Arraial Do Cabo,BR,2022-10-21 00:03:57,-22.9661,-42.0278,73.26,86,22,27.98
34,Jishou,CN,2022-10-21 00:04:15,28.3167,109.7167,60.91,87,100,1.63
35,Cabo San Lucas,MX,2022-10-21 00:06:32,22.8909,-109.9124,86.61,77,10,11.41
36,Chipata,ZM,2022-10-21 00:06:32,-13.6333,32.65,67.87,54,41,7.16
37,Clyde River,CA,2022-10-21 00:06:33,70.4692,-68.5914,17.83,73,100,12.66
38,Guerrero Negro,MX,2022-10-21 00:06:33,27.9769,-114.0611,75.07,71,3,11.59
39,Reconquista,AR,2022-10-21 00:06:33,-29.15,-59.65,63.28,89,39,6.17
40,Coquimbo,CL,2022-10-21 00:06:34,-29.9533,-71.3436,55.13,94,40,5.75
41,Port-Cartier,CA,2022-10-21 00:06:34,50.0334,-66.8654,44.74,77,20,9.6
42,Carnarvon,AU,2022-10-21 00:07:34,-24.8667,113.6333,67.01,69,7,9.48
43,Yellowknife,CA,2022-10-21 00:04:21,62.456,-114.3525,36.12,100,75,12.66
44,Beidao,CN,2022-10-21 00:07:35,34.5686,105.8933,55.8,76,48,1.23
45,Bethel,US,2022-10-21 00:07:35,41.3712,-73.414,55.71,66,0,3.44
46,Saint George,US,2022-10-21 00:05:30,37.1041,-113.5841,82.94,18,0,4.61
47,Mehamn,NO,2022-10-21 00:07:36,71.0357,27.8492,39.11,70,40,16.11
48,Camana,PE,2022-10-21 00:07:36,-16.6228,-72.7111,62.37,79,72,7.58
49,Mataura,NZ,2022-10-21 00:07:36,-46.1927,168.8643,51.75,40,76,6.87
50,Saskylakh,RU,2022-10-21 00:07:37,71.9167,114.0833,10.27,97,93,5.37
51,Mascota,MX,2022-10-21 00:04:24,20.5167,-104.7833,71.31,89,55,4.0
52,Tasiilaq,GL,2022-10-21 00:07:37,65.6145,-37.6368,35.76,96,99,4.52
53,Mahebourg,MU,2022-10-21 00:07:38,-20.4081,57.7,71.26,81,14,9.73
54,Kapaa,US,2022-10-21 00:04:11,22.0752,-159.319,80.58,77,100,9.22
55,Hermanus,ZA,2022-10-21 00:07:38,-34.4187,19.2345,56.5,86,70,9.46
56,Kodiak,US,2022-10-21 00:07:39,57.79,-152.4072,51.31,46,0,16.11
57,Saldanha,ZA,2022-10-21 00:05:21,-33.0117,17.9442,59.59,83,59,20.49
58,Khatanga,RU,2022-10-21 00:07:39,71.9667,102.5,9.07,93,67,5.14
59,Blagoyevo,RU,2022-10-21 00:07:39,63.3667,47.9167,30.96,69,95,11.95
60,Cape Town,ZA,2022-10-21 00:05:04,-33.9258,18.4232,60.89,81,72,5.01
61,Coihaique,CL,2022-10-21 00:07:40,-45.5752,-72.0662,42.75,61,0,2.3
62,Ribeira Grande,PT,2022-10-21 00:07:40,38.5167,-28.7,66.15,68,15,14.79
63,Diamantino,BR,2022-10-21 00:07:40,-14.4086,-56.4461,80.19,61,85,4.12
64,La Ronge,CA,2022-10-21 00:07:41,55.1001,-105.2842,53.19,42,94,15.5
65,Grand-Santi,GF,2022-10-21 00:07:41,4.25,-54.3833,77.54,80,100,2.39
66,Bredasdorp,ZA,2022-10-21 00:07:42,-34.5322,20.0403,55.06,86,91,5.03
67,Rawson,AR,2022-10-21 00:07:28,-43.3002,-65.1023,48.49,63,55,20.02
68,Punta Arenas,CL,2022-10-21 00:07:42,-53.15,-70.9167,42.91,61,0,36.82
69,Pochutla,MX,2022-10-21 00:07:42,15.7432,-96.4661,80.82,86,80,2.8
70,Cabadiangan,PH,2022-10-21 00:07:43,9.7531,122.4739,82.72,78,98,1.39
71,Buraydah,SA,2022-10-21 00:07:43,26.326,43.975,73.2,15,0,7.05
72,Busselton,AU,2022-10-21 00:07:43,-33.65,115.3333,59.36,71,65,6.51
73,Mugur-Aksy,RU,2022-10-21 00:07:44,50.35,90.5,24.64,79,100,6.38
74,Hofn,IS,2022-10-21 00:07:44,64.2539,-15.2082,42.28,75,100,14.07
75,Ulladulla,AU,2022-10-21 00:07:44,-35.35,150.4667,70.7,97,100,6.38
76,Vaini,TO,2022-10-21 00:07:45,-21.2,-175.2,74.05,81,91,15.95
77,Tuktoyaktuk,CA,2022-10-21 00:07:45,69.4541,-133.0374,24.87,90,100,10.42
78,Lodwar,KE,2022-10-21 00:07:45,3.1191,35.5973,83.82,43,92,21.83
79,Hithadhoo,MV,2022-10-21 00:07:46,-0.6,73.0833,81.21,77,100,10.45
80,Sao Pedro Do Sul,BR,2022-10-21 00:07:46,-29.6206,-54.1789,65.75,96,100,7.0
81,Antofagasta,CL,2022-10-21 00:05:25,-23.65,-70.4,60.08,81,39,5.73
